,burm,en
355,ကျန်းမာရေး၊ သင်ကြားမှုနှင့် လူမှုစိတ်ပိုင်းဆိုင်ရာ ကောင်းမွန်မှု ဖွံ့ဖြိုးတိုးတက်မှု လမ်းကြောင်းပေါ်တွင်ရောက်နေပြီဖြစ်သော အသက် (၅)နှစ်အောက်အရွယ် ကလေးများ၏ အချိုးအစားကို ကျား/မ ပေါ် မူတည်၍ ဖော်ပြခြင်း,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex"
356,တရားဝင် မူလတန်းတက်ရောက်သည့် အသက်အရွယ်အရောက်ခင် တစ်နှစ်အလိုတွင် သင်ယူမှုလုပ်ငန်းများ စတင်ဆောင်ရွက်ရာတွင် ပါဝင်မှုနှုန်းကို ကျား/မပေါ်မူတည်၍ ဖော်ပြခြင်း,"Participation rate in organized learning (one year before the official primary entry age), by sex"
357,လွန်ခဲ့သော (၁၂)လအတွင်း ကျောင်းတွင်းနှင့် ကျောင်းပြင်ပ ပညာရေးနှင့် သင်တန်းများ တက်ရောက်ခွင့်ရသော လူငယ်များနှင့် လူကြီးများ ပါဝင်မှုနှုန်းကို ကျား/မပေါ်မူတည်၍ ဖော်ပြခြင်း,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex"
358,သတင်းအချက်အလက်နှင့် နည်းပညာဆိုင်ရာ ကျွမ်းကျင်မှုများကိုပိုင်ဆိုင်သော လူငယ်များနှင့် လူကြီးများ အချိုးအစားကို ကျွမ်းကျင်မှု အမျိုးအစားပေါ်မူတည်၍ ဖော်ပြခြင်း,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill"
359,(ကျား/မ၊ ကျေးလက်/မြို့ပြ၊ ကြွယ်ဝချမ်းသာမှုလိုင်း အောက်/အထက် နှင့် မသန်စွမ်းမှုအခြေအနေ၊ ‌ဒေသခံဌာနေတိုင်းရင်းသားများနှင့် ပဋိပက္ခဒဏ်ခံရသော နေရာများတွင်နေထိုင်သူများ စသည့်ဒေတာများ) ပါဝင်သော ဤစာရင်းပေါ်ရှိ ပညာရေးဆိုင်ရာအညွှန်းများအားလုံးအတွက် ခွဲခြားပြသနိုင်သော တန်းတူညီမျှမှု အညွှန်းကိန်းများ,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated"
360,အသက်အရွယ်အပိုင်းအခြားအလိုက် အနည်းဆုံးရှိရမည်ဖြစ်သော (က) စာတတ်မြောက်မှု နှင့်  (ခ) ဂဏန်းသင်္ချာတတ်ကျွမ်းမှုတို့ကို ပြည့်မီသော လူဦးရေအချိုးအစားကို ကျား၊မ ပေါ် မူတည်၍ ဖော်ပြခြင်း,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex"
361,(၁) ကမ္ဘာ့နိုင်ငံသားပညာရေး နှင့် (၂) ကျား၊မ တန်းတူညီမျှမှုနှင့် လူ့အခွင့်အရေးတို့ပါဝင်သော စဉ်ဆက်မပြတ် ဖွံ့ဖြိုးတိုးတက်မှုအကြောင်းများပါဝင်သောပညာရေးကို (‌က)အမျိုးသားအဆင့်/နိုင်ငံတော်အဆင့် ပညာရေးမူဝါဒများ (ခ) သင်ရိုးများ (ဂ) ဆရာအတတ်သင်ပညာရေးနှင့် (ဃ) တတ်ကျွမ်းမှုစစ်ဆေးခြင်းများတွင် ထည့်သွင်းအသုံးပြုသောအခြေအနေ အတိုင်းအဆ,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment"
362,(က) လျှပ်စစ်ဓာတ်အား (ခ) သင်ကြားရေးလုပ်ငန်းများအတွက် အင်တာနက် (ဂ) သင်ကြားရေးလုပ်ငန်းများအတွက် ကွန်ပျူတာများ (ဃ) မသန်စွမ်းသော ကျောင်းသားကျောင်းသူများအတွက် အထူးဆောက်လုပ်ပေးထားသော အခြေခံအဆောက်အအုံများနှင့် ပြုလုပ်ပေးထားသော အခြေခံပစ္စည်းများ၊ (င) သောက်သုံးရေသန့်(စ) ကျား၊မ ခွဲထားသော အိမ်သာများနှင့် (ဆ) (WASH အညွှန်းအဓိပ္ပာယ်ဖွင့်ဆိုချက်များနှင့် ကိုက်ညီမှုရှိအောင် လက်ဆေးရန်နေရာများ ထားရှိပေးထားသော ကျောင်း အချိုးအစား,Proportion of schools with access to (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)
363,ပညာသင်ဆုများအနေဖြင့် ပေးအပ်သော တရားဝင်ဖွံ့ဖြိုးတိုးတက်မှု အထောက်အပံ့ပမာဏ ကို ကဏ္ဍနှင့် ဘာသာရပ်အမျိုးအစားပေါ်မူတည်၍ ဖော်ပြခြင်း,Volume of official development assistance flows for scholarships by sector and type of study
364,(‌က) မူလတန်းကြို (ခ) မူလတန်း (ဂ) အလယ်တန်းနှင့် (ဃ) အထက်တန်းပညာရေးတို့တွင် သင်ကြားရေးကောင်းမွန်ရန်အတွက် မဖြစ်မနေတက်ရောက်ရသည့် ဆရာအတတ်သင်သင်တန်းပို့ချမှု (ဥပမာ - သင်ကြားနည်းပညာဆိုင်ရာသင်တန်းများ) ကို အလုပ်မဝင်ခင်နှင့် အလုပ်ဝင်နေဆဲကာလတွင် တက်ရောက်ခွင့်ရရှိကြသော နိုင်ငံအတွင်းရှိ ဆရာ၊ ဆရာမ အချိုးအစား,Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country
365,တန်းတူညီမျှမှုနှင့် ကျား၊မဆိုင်ရာ ခွဲခြားဆက်ဆံမှုမရှိခြင်းတို့ကို မြှင့်တင်ပေးပြီး စည်းကမ်းလိုက်နာကြစေရန် စောင့်ကြည့်သော ဥပဒေမူဘောင်များ ရှိ/မရှိ,"Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex"
366,လွန်ခဲ့သော (၁၂)လအတွင်း မိမိ၏လက်ရှိ လက်တွဲဖော်ပြဖြစ်စေ၊ ယခင်လက်တွဲဖော်မှဖြစ်စေ ရုပ်ပိုင်းဆိုင်ရာ၊ လိင်ပိုင်းဆိုင်ရာနှင့် စိတ်ပိုင်းဆိုင်ရာ အကြမ်းဖက်ခြင်းခံခဲ့ရသော အမျိုးသမီးများနှင့် မိန်းကလေးငယ်များ အချိုးအစားကို အကြမ်းဖက်မှုပုံစံနှင့် အသက်အရွယ်တို့အပေါ် မူတည်၍ ဖော်ပြခြင်း,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age"
367,လွန်ခဲ့သော (၁၂)လအတွင်း မိမိ၏ အိမ်ထောင်ဖက်မှလွဲ၍ အခြားသူများ၏ လိင်ပိုင်းဆိုင်ရာ အကြမ်းဖက်ခြင်းခံခဲ့ရသော အသက် (၁၅)နှစ်အထက် မိန်းကလေးငယ်များနှင့် အမျိုးသမီးများ အချိုးအစားကို အသက်အရွယ်နှင့် ဖြစ်ပွားသောနေရာတို့အပေါ် မူတည်၍ ဖော်ပြခြင်း,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence"
368,အသက် (၁၅)နှစ် မတိုင်မီနှင့် အသက် (၁၈)နှစ်မတိုင်မီ အိမ်ထောင်ကျကြသော (သို့မဟုတ်) အိမ်ထောင်ချပေးခံရသော အသက် (၂၀)မှ (၂၄)ကြား အမျိုးသမီးများ အချိုးအစား,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18
369,အမ မျိုးပွားအင်္ဂါ ဖျက်ဆီးခံရခြင်း/ သားကြောဖြတ်ခြင်းခံရသော အသက် (၁၅)နှစ်မှ (၄၉)နှစ်ကြား မိန်းကလေးငယ်များနှင့် အမျိုးသမီးများ အချိုးအစားကို အသက်အရွယ်ပေါ် မူတည်၍ ဖော်ပြခြင်း,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age"
370,အဖိုးအခမရရှိသော အိမ်တွင်းစောင့်ရှောက်မှုလုပ်ငန်းမျာလုပ်ကိုင်ရာတွင် ကုန်ဆုံးသောအချိန် အချိုးအစားကို ကျား/မ၊ အသက်အရွယ်နှင့် နေထိုင်ရာနေရာတို့ပေါ်မူတည်၍ ဖော်ပြခြင်း,"Proportion of time spent on unpaid domestic and care work, by sex, age and location"
371,(က) အမျိုးသား/နိုင်ငံတော်အဆင့်လွှတ်တော်များ နှင့် (ခ) ‌ဒေသဆိုင်ရာ အစိုးရများတွင် ပါဝင်သော အမျိုးသမီးဦးရေ အချိုးအစား,Proportion of seats held by women in (a) national parliaments and (b) local governments
372,စီမံအုပ်ချုပ်မှုဆိုင်ရာ ရာထူးများတွင် လုပ်ကိုင်နေသော အမျိုးသမီး အချိုးအစား,Proportion of women in managerial positions
373,လိင်ဆက်ဆံမှု၊ သားဆက်ခြားကိရိယာ အသုံးပြုမှုနှင့် မျိုးပွားမှုဆိုင်ရာကျန်းမားရေး‌စောင့်ရှောက်မှုတို့အတွက် ကိုယ်ပိုင်ဆုံးဖြတ်ချက်မှချမှတ်နိုင်ရန် အချက်အလက်များကို အပြည့်အဝသိရှိပြီးဖြစ်သော အသက်(၁၅)နှစ်မှ (၄၉)နှစ်ကြားရှိ အမျိုးသမီး အမျိုးအစား,"Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care"
374,လိင်ပိုင်းဆိုင်ရာနှင့် မျိုးပွားမှုဆိုင်ရာ ကျန်းမာရေးစောင့်ရှောက်မှု နှင့် ပညာရေးအချက်အလက်များရရှိစေရန်အတွက် အသက် (၁၅)နှစ်အထက် အမျိုးသားနှင့် အမျိုးသမီးများ ပြည့်ဝစွာတန်းတူ အခွင့်အလမ်းရရှိရန် အာမခံသော ဥပဒေများနှင့် စည်းမျဉ်းစည်းကမ်းများရှိသော နိုင်ငံအရေအတွက်,"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education"
375,"(‌က) စိုက်ပျိုးမြေများကို ပိုင်ဆိုင်သော (သို့မဟုတ်) စိုက်ပျိုးမြေနှင့် ပတ်သက်၍ ခိုင်မာသော အခွင့်အလမ်းများရှိသော စိုက်ပျိုးရေးလုပ်ငန်းလုပ်ကိုင်သူဦးရေ အချိုးအစားကို ကျား/မပေါ်မူတည်၍ ဖော်ပြခြင်း (ခ) စိုက်ပျိုးမြေများကို ပိုင်ဆိုင်သော (သို့မဟုတ်) စိုက်ပျိုးမြေနှင့် ပတ်သက်၍ ခိုင်မာသော အခွင့်အလမ်းများရှိသော ပိုင်ရှင်များထဲတွင်ပါဝင်သော အမျိုးသမီးဦးရေအချိုးအစားကို လုပ်ပိုင်ခွင့်/သက်တမ်း အမျိုးအစားပေါ်မူတည်၍ ဖော်ပြခြင်း ","(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
376,မြေပိုင်ဆိုင်မှု နှင့်/သို့မဟုတ် မြေထိန်းသိမ်းစောင့်ရှောက်နိုင်ခွင့်နှင့် ပတ်သက်၍ အမျိုးသမီးများ တန်းတူအခွင့်အရေး ရရှိနိုင်ခွင့်ကို ကာကွယ်ပေးသော ဥပဒေမူဘောင်နှင့် ဓလေ့ထုံးတမ်းဥပဒေများရှိသော နိုင်ငံများ၏ အချိုးအစား,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control
377,မိုဘိုင်းဖုန်းပိုင်ဆိုင်သူများ၏အချိုးအစားကို ကျား/မပေါ်မူတည်၍ ဖော်ပြခြင်း,"Proportion of individuals who own a mobile telephone, by sex"
378,ကျား၊မ တန်းတူညီမျှမှုရရှိ‌ရေးနှင့် အမျိုးသမီး စွမ်းဆောင်ရည်မြှင့်တင်ရေးလုပ်ငန်းများကို မျက်ခြေမပြတ်စောင့်ကြည့်နိုင်ပြီး အများပြည်သူခွဲတမ်းများပြုလုပ်ပေးနိုင်သော နိုင်ငံများ၏ အချိုးအစား,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment
379,အန္တရာယ်ကင်းအောင် စီမံထားသည့် သောက်သုံးရေကို အသုံးပြုရရှိနိုင်သော လူဦးရေအချိုးအစား,Proportion of population using safely managed drinking water services
380,လက်ဆေးဆပ်ပြာနှင့် လက်‌ဆေးရေစသည့် ပစ္စည်းများရှိသော အန္တရာယ်ကင်းအောင် စီမံထားသည့် မိလ္လာစနစ်ကို အသုံးပြူသည့် လူဦးရေ အချိုးအစား,"Proportion of population using safely managed sanitation services, including a handwashing facility with soap and water"
381,အန္တရာယ်ကင်းစေရန် ဆောင်ရွက်ပြီးမှ စွန့်ပစ်သော ရေဆိုးများ၏ အချိုးအစား,Proportion of wastewater safely treated
382,ရေထုအရည်အသွေးကောင်းမွန်သော ရေအချိုးအစားကို ရေထုအားလုံးပေါ်မူတည်၍ ဖော်ပြခြင်း,Proportion of bodies of water with good ambient water quality
383,အချိန်နှင့်အမျှပြောင်းလဲနေသော ရေချွေတာသုံးစွဲမှု ပမာဏ,Change in water-use efficiency over time
384,ရေလျော့နည်းမှုအဆင့်/ ရေရှားပါးမှုအဆင့် - အသုံးပြုသော ရေချိုအချိုးအစားကို ရရှိနိုင်သော ရေချိုအရင်းအမြစ်ပေါ် အခြေခံ၍ ဖော်ပြခြင်း,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
385,အလုံးစုံသော ရေအရင်းအမြစ် စီမံခန့်ခွဲ အကောင်အထည်ဖော်ရေး အခြေအနေ (၀ မှ ၁၀၀ ထိ),Degree of integrated water resources management implementation (0 to 100)
386,ရေကြောင်းဆိုင်ရာ ပူးပေါင်းဆောင်ရွက်မှုအတွက် လုပ်ငန်းလည်ပတ်ရေး အစီအစဉ်များထားရှိထားသော နယ်နိမိတ်ဖြတ်ကျော် မြစ်ဝှမ်းဒေသဧရိယာ အချိုးအစား,Proportion of transboundary basin area with an operational arrangement for water cooperation
387,ရေနှင့်သက်ဆိုင်သော ‌ဂေဟစနစ်များ အချိန်နှင့်အမျှ ပြောင်းလဲလာမှု အခြေအနေအတိုင်းအဆ,Change in the extent of water-related ecosystems over time
388,အစိုးရ၏ အသုံးစရိတ် အစီအစဉ်တွင်ပါဝင်သည့် ရေ၊ မိလ္လာစနစ်တို့နှင့် သက်ဆိုင်သော ဖွံ့ဖြိုးတိုးတက်မှုဆိုင်ရာ တရားဝင် အထောက်အပံ့၏ ပမာဏ,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan
389,ရေနှင့် မိလ္လာစနစ် စီမံခန့်ခွဲ‌ရေးအတွက် ဒေသခံလူမှုအသိုင်းအဝန်း၏ ပါဝင်လုပ်ဆောင်မှု ရရှိစေရန်အတွက် လုပ်ငန်းလည်ပတ်ရေးမူဝါဒများနှင့် လုပ်ထုံးလုပ်နည်းများ ချမှတ်လုပ်ဆောင်နေသော ဒေသဆိုင်ရာစီမံခန့်ခွဲမှု ဌာနခွဲများ အချိုးအစား,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
390,လျှပ်စစ်ဓာတ်အားသုံးစွဲနိုင်သော လူဦးရေအချိုးအစား,Proportion of population with access to electricity
391,သန့်ရှင်းသော လောင်စာများနှင့် နည်းပညာပေါ်တွင် အဓိက မှီခိုအားထားနေရသော လူဦးရေ အချိုးအစား,Proportion of population with primary reliance on clean fuels and technology
392,အဆုံးသတ် စွမ်းအင်သုံးစွဲမှုစုစုပေါင်းတွင် ပါဝင်သော ပြန်ပြည့်မြဲစွမ်းအင် အချိုးအစား,Renewable energy share in the total final energy consumption
393,စွမ်းအင်ပြင်းအားကို မူလစွမ်းအင်နှင့် ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) တို့အပေါ်လိုက်၍ တိုင်းတာခြင်း,Energy intensity measured in terms of primary energy and GDP
394,သန့်ရှင်းသောစွမ်းအင်ရရှိရေး သုတေသနနှင့် ဖွံ့ဖြိုးတိုးတက်မှုဆိုင်ရာ လုပ်ငန်းများနှင့် ဖက်စပ်စနစ်များပါ ပါဝင်သော ပြန်ပြည့်မြဲစွမ်းအင်ထုတ်လုပ်ရေး လုပ်ငန်းများကို ကူညီထောက်ပံ့ပေးရန်အတွက် ဖွံ့ဖြိုးဆဲနိုင်ငံများသို့ နိုင်ငံတကာမှ ငွေကြေးစီးဆင်းမှု,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems"
395,စွမ်းအင်ခြွေတာရေးလုပ်ငန်းများတွင် ပြုလုပ်ထားသော ရင်းနှီးမြှုပ်နှံမှု အချိုးအစားကို ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP)ပေါ် မူတည်၍ ဖော်ပြခြင်း နှင့် နိုင်ငံခြားတိုက်ရိုက်ရင်းနှီးမြှုပ်နှံမှုပမာဏကို ရေရှည်ဖွံ့ဖြိုးတိုးတက်စေနိုင်သော အခြေခံအဆောက်အအုံနှင့် နည်းပညာများအတွက် ငွေကြေးလွှဲပြောင်းမှုပေါ် မူတည်၍ ဖော်ပြခြင်း,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services
396,လူတစ်ဦးချင်းစီအတွက် အမှန်ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) ၏ နှစ်စဉ်တိုးတက်လာနှုန်း,Annual growth rate of real GDP per capita
397,(က) လူတစ်သိန်းကျစီအတွက် အသုံးပြုနိုင်‌သော စီးပွားရေးဘဏ်ခွဲအရေအတွက် နှင့် (ခ) လူတစ်သိန်းကျစီအတွက် အသုံးပြုနိုင်သော အလိုအလျောက်ငွေထုတ်စက် အရေအတွက်,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
398,ဘဏ် (သို့မဟုတ်) အခြားငွေကြေးဆိုင်ရာအဖွဲ့အစည်း (သို့မဟုတ်) မိုဘိုင်းငွေကြေးဝန်ဆောင်မှု တို့တွင် စာရင်းဖွင့်ထားသော အသက် (၁၅)နှစ်အထက် လူကြီးများ အချိုးအစား,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider
399,အလုပ်အကိုင်ရှိသူတစ်ဦးချင်းစီအတွက် အမှန်ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) ၏ နှစ်စဉ်တိုးတက်လာနှုန်း,Annual growth rate of real GDP per employed person
400,စိုက်ပျိုး‌ရေးမဟုတ်သော လုပ်ငန်းများတွင် လုပ်ကိုင်နေသော တရားမဝင် အလုပ်အကိုင်များ၏ အချိုးအစားကို ကျား/မ ပေါ် မူတည်၍ ဖော်ပြခြင်း,"Proportion of informal employment in non‐agriculture employment, by sex"
401,ပစ္စည်းခြေရာ၊ လူတစ်ဦးချင်းစီ၏ ပစ္စည်းခြေရာ၊ ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) ပေါ်တွင်အခြေခံသော ပစ္စည်းခြေရာ,"Material footprint, material footprint per capita, and material footprint per GDP"
402,ပြည်တွင်း ပစ္စည်းသုံးစွဲမှု၊ လူတစ်ဦးချင်းစီ၏ ပြည်တွင်းပစ္စည်းသုံးစွဲမှု၊ ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) ပေါ်တွင်အခြေခံသော ပြည်တွင်းပစ္စည်းသုံးစွဲမှု,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
403,အမျိုးသမီးနှင့် အမျိုးသားဝန်ထမ်းများ၏ တစ်နာရီလျှင်ပျမ်းမျှရရှိငွေကို အလုပ်အကိုင်အမျိုးအစား၊ အသက်အရွယ်၊ မသန်စွမ်းမှုအခြေအနေများပေါ်တွင် မူတည်၍ဖော်ပြခြင်း,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities"
404,အလုပ်လက်မဲ့ဖြစ်ပွားနှုန်းကို ကျား/မ ၊ အသက်အရွယ်၊ မသန်စွမ်းမှုအခြေအနေများပေါ်တွင် မူတည်၍ဖော်ပြခြင်း,"Unemployment rate, by sex, age and persons with disabilities"
405,ပညာရေး၊ အလုပ်အကိုင် သို့မဟုတ် သင်တန်း တက်ရောက်နေခြင်းမရှိသော အသက် (၁၅)နှစ်မှ (၂၄)နှစ်အတွင်းရှိ လူငယ်များ အချိုးအစား,"Proportion of youth (aged 15–24 years) not in education, employment or training"
406,ကလေးလုပ်သားအဖြစ် စေခိုင်းခံနေရသော အသက် (၅)နှစ်မှ (၁၇)နှစ်အတွင်းရှိ ကလေးအရေအတွက်နှင့် အချိုးအစားကို ကျား/မ နှင့် အသက်အရွယ်တို့ပေါ် မူတည်၍ ဖော်ပြခြင်း,"Proportion and number of children aged 5–17 years engaged in child labour, by sex and age"
407,အသက်ဆုံးရှုံးမှုရှိသော လုပ်ငန်းခွင်ဆိုင်ရာ ထိခိုက်ဒဏ်ရာ ရရှိမှုများ နှင့် အသက်ဆုံးရှုံးမှုမရှိသော လုပ်ငန်းခွင်ဆိုင်ရာ ထိခိုက်ဒဏ်ရာ ရရှိမှုများ ကြိမ်နှုန်းကို ကျား/မ နှင့် ရွှေ့ပြောင်းလုပ်ကိုင်ခြင်းတို့အပေါ် မူတည်၍ ဖော်ပြခြင်း,"Frequency rates of fatal and non-fatal occupational injuries, by sex and migrant status"
408,"အလုပ်သမားရပိုင်ခွင့်များနှင့် ပတ်သက်၍ ","Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status"
409,ခရီးသွားလုပ်ငန်းမှ ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP)ကို ထည့်ဝင်နေသော အချိုးအစားကို ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP)စုစုပေါင်းနှင့် တိုးတက်နှုန်းတို့အပေါ် မူတည်၍ ဖော်ပြခြင်း,Tourism direct GDP as a proportion of total GDP and in growth rate
410,ရေရှည်တည်တံ့ခိုင်မြဲသော ခရီးသွားလုပ်ငန်းများတွင် ရှိသော အလုပ်အကိုင်အရေအတွက်အချိုးအစားကို ခရီးသွားလုပ်ငန်းအားလုံးတွင်ရှိသော အလုပ်အကိုင်အရေအတွက်ပေါ် မူတည်၍ ဖော်ပြခြင်း,Proportion of jobs in sustainable tourism industries out of total tourism jobs
411,ကုန်သွယ်မှုကတိကဝတ်များနှင့် ငွေချေမှုများအတွက် အကူအညီအထောက်အပံ့,Aid for Trade commitments and disbursements
412,လူငယ်များအလုပ်အကိုင်ရရှိနိုင်ရေးအတွက် အဆင့်ဆင့် အကောင်အထည်ဖော်နိုင်ရန် အသင့်ဖြစ်နေသော သီးသန့် အမျိုးသားအဆင့်/နိုင်ငံတော်အဆင့် မဟာဗျူဟာတစ်ခု ရေးဆွဲချမှတ်ခြင်း (သို့မဟုတ်) အလုပ်အကိုင် မဟာဗျူဟာတစ်ရပ်၏ အစိတ်အပိုင်းတစ်ခုအဖြစ် သတ်မှတ်လုပ်ဆောင်မှုရှိခြင်း,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy"
413,တစ်နှစ်ပတ်လုံး သွားလာ၍ရသော လမ်းများ၏ (၂)ကီလိုမီတာ အကွာအဝေးအတွင်းတွင် နေထိုင်ကြသော ကျေးရွာနေ လူဦးရေအချိုးအစား,Proportion of the rural population who live within 2 km of an all-season road
414,ခရီးသွားများနှင့် ကုန်စည်စီးဆင်းမှုပမာဏကို ခရီးသွားလာ‌ရေးလမ်းကြောင်းများဖြင့် ဖော်ပြခြင်း,"Passenger and freight volumes, by mode of transport"
415,ကုန်ထုတ်လုပ်မှုတန်ဖိုးမြှင့်ခြင်အချိုးအစားကို ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP) နှင့် လူတစ်ဦးချင်းစီပေါ် မူတည်၍ ဖော်ပြခြင်း,Manufacturing value added as a proportion of GDP and per capita
416,ကုန်ထုတ်လုပ်မှုဆိုင်ရာအလုပ်အကိုင်များ အချိုးအစားကို အလုပ်အကိုင်အားလုံးပေါ် မူတည်၍ ဖော်ပြခြင်း,Manufacturing employment as a proportion of total employment
417,လုပ်ငန်းကဏ္ဍတစ်ခုလုံး တန်ဖိုးမြှင့်မှု စုစုပေါင်းတွင် အသေးစားလုပ်ငန်းများ၏ ပါဝင်မှု အချိုးအစား,Proportion of small-scale industries in total industry value added
418,အကြွေး (သို့မဟုတ်) ချေးငွေဖြင့် လည်ပတ်နေရသော အသေးစားလုပ်ငန်းများ၏ အချိုးအစား,Proportion of small-scale industries with a loan or line of credit
419,တန်ဖိုးမြှင့်ထုတ်ကုန်တစ်ယူနစ်အတွက် ကာဗွန်ဒိုင်အောက်ဆိုဒ် ထုတ်လွှတ်မှု,CO2 emission per unit of value added
420,သုတေသနနှင့် ဖွံ့ဖြိုးတိုးတက်‌ရေးလုပ်ငန်းများတွင် အသုံးပြုသော ကုန်ကျစရိတ်အချိုးအစားကို ပြည်တွင်းအသားတင်ကုန်ထုတ်လုပ်မှု (GDP)အပေါ်မူတည်၌ဖော်ပြခြင်း,Research and development expenditure as a proportion of GDP
421,လူဦးရေ တစ်သန်းလျှင် အချိန်ပြည့် သုတေသီအဖြစ်လုပ်ကိုင်သူ အရေအတွက်,Researchers (in full-time equivalent) per million inhabitants
422,အခြေခံအဆောက်အအုံများအတွက် တရားဝင် အပြည်ပြည်ဆိုင်ရာ အထောက်အပံ့ (တရားဝင်ဖွံ့ဖြိုးတိုးတက်မှုအထောက်အပံ့နှင့် အခြား တရားဝင် စီးဆင်းမှုများ) စုစုပေါင်း,Total official international support (official development assistance plus other official flows) to infrastructure
423,တန်ဖိုးမြှင့်မှုစုစုပေါင်းတွင် ပါဝင်သော အလတ်စားနှင့် အမြင့်စားနည်းပညာ လုပ်ငန်းများ၏ လုပ်ငန်းတန်ဖိုး အချိုးအစား,Proportion of medium and high-tech industry value added in total value added
424,မိုဘိုင်းကွန်ယက် နှင့် နည်ပညာများရရှိနိုင်သော လူဉီးရေအချိုးအစား,"Proportion of population covered by a mobile network, by technology"
425,အခြားအချက်အလက်များ,Other information
426,တွက်ချက်မှုများ,Calculations
427,အဓိပ္ပာယ်ဖွင့်ဆိုချက်များ,Definitions
428,တိုင်းတာမှုယူနစ်,Unit of measurement
429,ကုလသမဂ္ဂ ဒေတာဆိုင်ရာဒေတာကို ချိတ်ဆက်သော လင့်ခ်,Link to UN metadata
430,အညွှန်းနံပါတ်,Indicator number
431,ကမ္ဘာ့အညွှန်း ဖော်ပြချက်,Global indicator description
432,အညွှန်းအမည်,Indicator name
433,အညွှန်း ပြသချက် အစဉ် (ရည်မှန်းချက်ပန်းတိုင် စာမျက်နှာထဲတွင်ရှိသော),Indicator display order (within Goal page)
434,ဒေတာကို နောက်ဆုံးတင်ပြခဲ့ချိန်,Data last updated
435,ပထဝီဝင်လွှမ်းခြုံမှု,Geographical coverage
436,ရနိုင်သော အညွှန်း,Indicator available
437,အညွှန်းအကြောင်းဖော်ပြချက်,Indicator description
438,ဒေတာဆိုင်ရာဒေတာကို နောက်ဆုံးတင်ပြခဲ့ချိန်,Metadata last updated
439,ဆက်သွယ်ရန် အသေးစိတ်အချက်အလက်များ,Contact details
